"","id","CL","TR","1","2","3","4","5","6","7"
"97","0YPG",3,2,NA,17030,NA,NA,NA,NA,NA
"98","0YPP",3,2,NA,17030,17085,NA,NA,NA,NA
"99","0YPY",2,2,NA,17030,NA,17243,17310,17375,NA
"100","0YRB",1,1,16949,NA,17086,NA,17312,17377,17450
"101","0YRD",2,1,16949,17031,17086,NA,NA,NA,NA
"102","0YRG",2,1,16949,NA,17086,17245,17312,17377,17450
"103","0YRP",1,1,16949,NA,NA,NA,NA,NA,NA
"104","0YRR",1,1,16949,NA,17086,17245,17312,NA,17450
"105","0YRY",1,1,16949,17031,17086,17245,17312,17377,NA
"106","0YYB",2,1,16949,17031,17086,17245,NA,NA,NA
"107","0YYD",1,1,16949,17031,NA,17245,17312,NA,17450
"108","0YYG",2,1,16949,NA,NA,17245,NA,NA,NA
"109","0YYP",2,1,16949,NA,NA,NA,NA,17377,NA
"110","0YYR",3,1,16949,NA,NA,17245,NA,NA,NA
"111","0YYY",2,1,16949,NA,NA,NA,NA,NA,NA
"112","BBBB",1,1,16949,17031,NA,NA,NA,NA,NA
"113","BBPB",1,1,16949,17031,17086,17245,17312,17377,NA
"114","BPBB",1,1,16949,17031,17086,NA,17312,NA,NA
"115","BPBP",1,1,16949,17031,NA,NA,NA,NA,NA
"116","BPPB",1,1,16949,NA,NA,NA,NA,NA,NA
"117","BPPP",1,1,16949,NA,NA,NA,NA,NA,17450
"118","BPPPBB",1,2,NA,NA,17085,NA,17311,17374,17451
"119","BPPPBP",2,2,NA,NA,17085,NA,NA,17375,17449
"120","BPPPPB",2,2,NA,NA,17085,17244,NA,17375,NA
"121","BPPPPP",1,2,NA,NA,17085,NA,NA,NA,NA
"122","PBBB",2,1,16949,17031,17086,NA,17312,NA,17450
"123","PBBP",1,1,16949,NA,NA,NA,17312,17377,17450
"124","PBPB",1,1,16949,17031,17086,NA,17313,17376,17452
"125","PBPP",1,3,16948,17029,17085,17254,NA,17378,NA
"126","PBPPPB",1,2,16950,17030,17084,NA,17311,17377,NA
"127","PPBPBP",1,1,16949,17031,NA,NA,NA,NA,NA
"128","PPPPPB",1,1,16949,NA,NA,NA,NA,NA,NA
"129","PPPPPP",2,1,16949,NA,NA,17245,17312,NA,NA
"130","RGDDDD",1,3,16946,NA,NA,NA,17310,17375,NA
"131","RGDDDG",1,2,16945,17030,17087,NA,NA,NA,17449
"132","RGDDDY",1,3,16946,17029,NA,NA,NA,NA,NA
"133","RGDDGD",1,2,16945,17030,NA,NA,NA,NA,NA
"134","RGDDGY",1,2,16945,NA,17087,NA,NA,17374,17451
"135","RGDDRG",1,2,16945,17030,NA,NA,17311,NA,NA
"136","RGDDYD",1,2,16945,NA,NA,NA,NA,NA,NA
"137","RGDGDD",1,2,16945,17030,17085,17243,17311,17374,17451
"138","RGDYDY",1,2,16945,NA,NA,NA,NA,NA,NA
"139","RGDYGD",1,2,16945,17030,NA,NA,NA,NA,NA
"140","RGDYRD",1,2,16945,17030,17085,NA,NA,NA,NA
"141","RGDYRG",2,2,16945,17030,NA,NA,NA,NA,NA
"142","RGDYRY",1,2,16945,17030,17085,17243,NA,17374,17451
"143","RGDYYR",1,2,16945,17030,17085,NA,NA,NA,NA
"144","RRY",2,2,16945,NA,NA,NA,NA,NA,NA
"145","RYDRGG",3,3,NA,NA,NA,NA,17312,NA,NA
"146","RYDRGY",2,3,NA,NA,NA,NA,17313,NA,NA
"147","RYDRRB",1,3,NA,NA,NA,NA,17312,NA,NA
"148","RYDRRD",1,1,NA,NA,NA,NA,17312,NA,NA
"149","RYDRRG",2,1,NA,NA,NA,NA,17312,NA,NA
"150","RYDRRR",1,2,NA,NA,NA,NA,17311,17374,17451
