"","id","CL","TR","1","2","3","4","5","6","7"
"1","0DDD",3,3,NA,17028,NA,NA,17313,17376,NA
"2","0DDR",1,1,NA,17031,17086,NA,NA,NA,NA
"3","0DDY",1,3,NA,17028,NA,NA,NA,NA,NA
"4","0DRB",2,2,NA,NA,17087,NA,NA,NA,17451
"5","0DRD",3,1,NA,17031,17086,17253,17313,17376,17452
"6","0DRG",3,2,NA,17030,17085,NA,17311,NA,17451
"7","0DRP",3,1,NA,17031,17086,NA,NA,17376,17452
"8","0DRR",3,2,NA,17030,NA,NA,17311,17374,NA
"9","0DRY",3,1,NA,17031,17086,NA,NA,NA,NA
"10","0DYD",3,1,NA,17031,17086,NA,NA,NA,NA
"11","0DYY",2,1,NA,NA,17086,17245,17312,17377,17450
"12","0GBB",3,1,16949,NA,NA,NA,NA,NA,NA
"13","0GBD",2,1,16949,NA,17086,17245,17312,NA,17450
"14","0GBG",1,1,16949,17031,17086,17245,17312,17377,17450
"15","0GBP",3,1,16949,NA,NA,17245,NA,17377,17450
"16","0GBR",3,1,16949,NA,17086,NA,17312,NA,NA
"17","0GBY",3,1,16949,NA,17086,17245,NA,NA,17450
"18","0GDB",2,3,16948,17029,17085,17254,17312,17378,NA
"19","0GDD",3,3,16948,17029,17085,NA,17312,17378,17450
"20","0GDG",2,3,16948,17029,17085,17254,NA,17378,17450
"21","0GDP",3,3,16948,17029,NA,NA,NA,NA,NA
"22","0GDR",2,3,16948,17029,NA,17254,17312,NA,17450
"23","0GDY",3,3,16948,17029,NA,NA,NA,NA,NA
"24","0GGB",2,1,16948,NA,NA,NA,NA,NA,NA
"25","0GGD",3,1,16948,NA,NA,NA,NA,NA,NA
"26","0GGG",2,1,16948,NA,NA,NA,NA,NA,NA
"27","0GGP",3,1,16948,17031,NA,17253,NA,NA,NA
"28","0GGR",2,1,16948,17031,NA,17253,17313,17376,17452
"29","0GGY",3,1,16948,17031,17086,17253,17313,17376,17452
"30","0GPB",3,3,16948,NA,NA,NA,NA,NA,NA
"31","0GPD",3,3,16948,NA,NA,NA,NA,NA,NA
"32","0GPG",2,3,16948,17029,NA,NA,NA,NA,NA
"33","0GPP",1,3,16948,NA,NA,NA,17312,17378,17450
"34","0GPR",2,1,16949,NA,NA,NA,NA,17377,NA
"35","0GPY",3,3,16948,NA,NA,NA,NA,NA,NA
"36","0GRB",3,1,16948,17031,NA,NA,NA,NA,NA
"37","0GRD",2,3,16946,NA,NA,NA,NA,NA,NA
"38","0GRG",2,3,16946,NA,NA,NA,17313,17376,17449
"39","0GRP",2,3,16946,NA,17084,17244,NA,17376,NA
"40","0GRR",2,3,16946,17028,NA,NA,17313,17376,NA
"41","0GRY",2,3,16946,NA,NA,NA,NA,NA,NA
"42","0GYB",3,3,16948,17029,NA,17254,17312,NA,NA
"43","0GYD",2,1,16948,17031,17086,NA,NA,NA,NA
"44","0GYG",3,1,16948,NA,NA,17253,17313,17376,17452
"45","0GYP",1,3,16948,NA,NA,NA,NA,NA,NA
"46","0GYR",3,1,16948,NA,NA,17253,NA,17376,17452
"47","0GYY",3,1,16948,NA,NA,NA,17313,17376,17452
"48","0RBB",3,1,16948,NA,NA,17253,17313,NA,NA
"49","0RBD",2,3,16946,NA,NA,NA,NA,NA,NA
"50","0RBG",3,3,16946,NA,NA,NA,NA,NA,NA
"51","0RBP",2,1,16948,NA,NA,NA,NA,NA,NA
"52","0RBY",2,3,16946,NA,NA,NA,NA,NA,NA
"53","0RDB",2,3,16946,17029,17084,NA,NA,NA,NA
"54","0RDD",3,2,16945,NA,NA,NA,NA,NA,NA
"55","0RDG",2,2,16945,NA,17087,17243,17310,NA,NA
"56","0RDP",3,3,16946,NA,NA,NA,17310,17375,NA
"57","0RDR",2,2,16945,17030,NA,NA,NA,17375,NA
"58","0RDY",2,2,16945,NA,NA,NA,NA,NA,NA
"59","0RGB",1,2,16945,17030,17087,NA,NA,17375,NA
"60","0RGD",1,2,16945,NA,NA,17244,17311,NA,17451
"61","0RGG",1,2,16945,17030,17085,NA,NA,NA,NA
"62","0RGP",3,2,16945,NA,NA,NA,NA,NA,NA
"63","0RGR",3,2,16945,NA,NA,NA,NA,NA,NA
"64","0RGY",2,2,16945,NA,17085,17244,17310,NA,17451
"65","0RPB",3,3,16946,NA,NA,NA,NA,NA,NA
"66","0RPD",2,3,16946,NA,17084,NA,NA,17375,NA
"67","0RPG",3,3,16946,NA,NA,NA,NA,NA,NA
"68","0RPP",2,3,16946,NA,NA,NA,NA,NA,NA
"69","0RPR",2,3,16946,NA,NA,17254,17310,17375,17449
"70","0RPY",2,3,16946,17029,17084,NA,17310,17375,17449
"71","0RRB",2,2,16945,NA,NA,17243,17311,17374,17451
"72","0RRD",2,2,16945,17030,NA,NA,NA,NA,NA
"73","0RRG",3,2,16945,NA,NA,NA,NA,NA,NA
"74","0RRP",3,2,16945,NA,NA,NA,NA,NA,NA
"75","0RRR",1,2,16945,NA,17085,NA,17311,17374,17451
"76","0RRY",2,2,16945,17030,17085,17243,NA,NA,NA
"77","0RYB",2,2,16945,17030,17087,NA,17310,NA,17451
"78","0RYD",3,2,16945,NA,NA,NA,NA,17375,17451
"79","0RYG",2,2,16945,17030,17087,NA,NA,NA,NA
