"","id","CL","TR","1","2","3","4","5","6","7"
"121","BPPPPP",1,2,NA,NA,1,0,0,0,0
"122","PBBB",2,1,1,1,1,0,1,0,1
"123","PBBP",1,1,1,0,0,0,1,1,1
"124","PBPB",1,1,1,1,1,0,1,1,1
"125","PBPP",1,3,1,1,1,1,0,1,0
"126","PBPPPB",1,2,1,1,1,0,1,1,0
"127","PPBPBP",1,1,1,1,0,0,0,0,0
"128","PPPPPB",1,1,1,0,0,0,0,0,0
"129","PPPPPP",2,1,1,0,0,1,1,0,0
"130","RGDDDD",1,3,1,0,0,0,1,1,0
"131","RGDDDG",1,2,1,1,1,0,0,0,1
"132","RGDDDY",1,3,1,1,0,0,0,0,0
"133","RGDDGD",1,2,1,1,0,0,0,0,0
"134","RGDDGY",1,2,1,0,1,0,0,1,1
"135","RGDDRG",1,2,1,1,0,0,1,0,0
"136","RGDDYD",1,2,1,0,0,0,0,0,0
"137","RGDGDD",1,2,1,1,1,1,1,1,1
"138","RGDYDY",1,2,1,0,0,0,0,0,0
"139","RGDYGD",1,2,1,1,0,0,0,0,0
"140","RGDYRD",1,2,1,1,1,0,0,0,0
"141","RGDYRG",2,2,1,1,0,0,0,0,0
"142","RGDYRY",1,2,1,1,1,1,0,1,1
"143","RGDYYR",1,2,1,1,1,0,0,0,0
"144","RRY",2,2,1,0,0,0,0,0,0
"145","RYDRGG",3,3,NA,NA,NA,NA,1,0,0
"146","RYDRGY",2,3,NA,NA,NA,NA,1,0,0
"147","RYDRRB",1,3,NA,NA,NA,NA,1,0,0
"148","RYDRRD",1,1,NA,NA,NA,NA,1,0,0
"149","RYDRRG",2,1,NA,NA,NA,NA,1,0,0
"150","RYDRRR",1,2,NA,NA,NA,NA,1,1,1
"151","RYDRYD",2,1,NA,NA,NA,NA,1,0,0
"152","RYDRYP",1,1,NA,NA,NA,NA,1,0,1
"153","RYDRYY",2,1,NA,NA,NA,NA,1,1,1
"154","RYDYGB",3,2,NA,NA,NA,NA,NA,1,1
"155","RYDYPG",2,3,NA,NA,NA,NA,NA,1,1
"156","RYDYYG",3,2,NA,NA,NA,NA,NA,1,1
"157","RYDYYR",2,2,NA,NA,NA,NA,NA,1,1
"158","RYRBBB",1,1,NA,1,0,1,0,1,0
"159","RYRBBD",2,1,NA,1,1,0,1,0,0
"160","RYRBBG",2,1,NA,1,0,0,0,0,0
"161","RYRBBP",2,1,NA,1,0,1,1,1,0
"162","RYRBBR",2,1,NA,1,1,1,0,0,1
"163","RYRBBY",2,1,NA,1,1,1,0,0,1
