"","id","CL","TR","1","2","3","4","5","6","7"
"105","0YRY",1,1,980,980,980,990,990,990,NA
"106","0YYB",2,1,1070,1070,1070,1070,NA,NA,NA
"107","0YYD",1,1,1040,1040,NA,1060,1060,NA,1040
"108","0YYG",2,1,1030,NA,NA,1020,NA,NA,NA
"109","0YYP",2,1,1050,NA,NA,NA,NA,1040,NA
"110","0YYR",3,1,1020,NA,NA,1050,NA,NA,NA
"111","0YYY",2,1,1040,NA,NA,NA,NA,NA,NA
"112","BBBB",1,1,1030,1030,NA,NA,NA,NA,NA
"113","BBPB",1,1,1020,1010,1000,1010,1010,1010,NA
"114","BPBB",1,1,1000,1000,1000,NA,1000,NA,NA
"115","BPBP",1,1,1000,1000,NA,NA,NA,NA,NA
"116","BPPB",1,1,970,NA,NA,NA,NA,NA,NA
"117","BPPP",1,1,940,NA,NA,NA,NA,NA,950
"118","BPPPBB",1,2,NA,NA,140,NA,90,90,90
"119","BPPPBP",2,2,NA,NA,130,NA,NA,100,120
"120","BPPPPB",2,2,NA,NA,120,120,NA,100,NA
"121","BPPPPP",1,2,NA,NA,120,NA,NA,NA,NA
"122","PBBB",2,1,940,940,940,NA,930,NA,940
"123","PBBP",1,1,930,NA,NA,NA,940,940,940
"124","PBPB",1,1,920,920,940,NA,680,680,680
"125","PBPP",1,3,890,890,890,890,NA,810,NA
"126","PBPPPB",1,2,1210,1250,1250,NA,1250,1250,NA
"127","PPBPBP",1,1,1080,1080,NA,NA,NA,NA,NA
"128","PPPPPB",1,1,1040,NA,NA,NA,NA,NA,NA
"129","PPPPPP",2,1,1030,NA,NA,920,930,NA,NA
"130","RGDDDD",1,3,330,NA,NA,NA,330,330,NA
"131","RGDDDG",1,2,230,230,220,NA,NA,NA,150
"132","RGDDDY",1,3,310,310,NA,NA,NA,NA,NA
"133","RGDDGD",1,2,190,190,NA,NA,NA,NA,NA
"134","RGDDGY",1,2,190,NA,200,NA,NA,50,70
"135","RGDDRG",1,2,170,150,NA,NA,80,NA,NA
"136","RGDDYD",1,2,210,NA,NA,NA,NA,NA,NA
"137","RGDGDD",1,2,10,20,20,20,20,30,30
"138","RGDYDY",1,2,120,NA,NA,NA,NA,NA,NA
"139","RGDYGD",1,2,90,90,NA,NA,NA,NA,NA
"140","RGDYRD",1,2,40,40,40,NA,NA,NA,NA
"141","RGDYRG",2,2,40,40,NA,NA,NA,NA,NA
"142","RGDYRY",1,2,40,20,20,20,NA,30,30
"143","RGDYYR",1,2,100,100,120,NA,NA,NA,NA
"144","RRY",2,2,40,NA,NA,NA,NA,NA,NA
"145","RYDRGG",3,3,NA,NA,NA,NA,870,NA,NA
"146","RYDRGY",2,3,NA,NA,NA,NA,410,NA,NA
"147","RYDRRB",1,3,NA,NA,NA,NA,800,NA,NA
"148","RYDRRD",1,1,NA,NA,NA,NA,1050,NA,NA
"149","RYDRRG",2,1,NA,NA,NA,NA,940,NA,NA
"150","RYDRRR",1,2,NA,NA,NA,NA,80,90,90
"151","RYDRYD",2,1,NA,NA,NA,NA,640,NA,NA
"152","RYDRYP",1,1,NA,NA,NA,NA,670,NA,680
"153","RYDRYY",2,1,NA,NA,NA,NA,610,660,640
"154","RYDYGB",3,2,NA,NA,NA,NA,NA,1290,1290
"155","RYDYPG",2,3,NA,NA,NA,NA,NA,870,850
"156","RYDYYG",3,2,NA,NA,NA,NA,NA,1300,1280
"157","RYDYYR",2,2,NA,NA,NA,NA,NA,1290,1290
"158","RYRBBB",1,1,NA,1000,NA,1010,NA,1010,NA
"159","RYRBBD",2,1,NA,990,990,NA,990,NA,NA
"160","RYRBBG",2,1,NA,950,NA,NA,NA,NA,NA
"161","RYRBBP",2,1,NA,990,NA,990,990,990,NA
"162","RYRBBR",2,1,NA,940,940,950,NA,NA,940
"163","RYRBBY",2,1,NA,960,970,960,NA,NA,930
"164","RYRBDB",2,1,NA,990,NA,NA,990,NA,1010
"165","RYRBDG",2,1,NA,920,NA,NA,930,NA,NA
"166","RYRBDP",2,1,NA,970,NA,NA,990,990,NA
"167","RYRBDR",1,1,NA,920,NA,NA,NA,NA,NA
"168","RYRBDY",1,1,NA,940,NA,940,940,NA,930
"169","RYRBGB",2,2,NA,170,NA,NA,NA,NA,NA
"170","RYRBGD",1,2,NA,20,40,NA,20,30,30
"171","RYRBGP",1,2,NA,60,NA,NA,NA,NA,NA
"172","RYRBGR",3,2,NA,180,100,160,150,NA,NA
"173","RYRBGY",2,2,NA,20,NA,NA,NA,NA,NA
"174","RYRBPB",1,1,NA,920,NA,NA,NA,NA,NA
