"","indID","CL","X1","X2","X3","X4","X5","X6","X7"
"RYRPBD","RYRPBD",3,NA,17030,NA,NA,NA,NA,NA
"RYRPBG","RYRPBG",1,NA,17030,17087,NA,NA,NA,NA
"RYRPBR","RYRPBR",1,NA,17030,NA,NA,NA,NA,NA
"RYRPBY","RYRPBY",1,NA,17030,17087,17243,17310,17375,NA
"RYRPBYY","RYRPBYY",1,NA,NA,17087,NA,NA,17375,17451
"RYRPDD","RYRPDD",1,NA,17030,17085,NA,NA,NA,NA
"RYRPDP","RYRPDP",1,NA,17030,17087,NA,NA,NA,NA
"RYRPDR","RYRPDR",2,NA,17030,NA,NA,NA,NA,NA
"RYRPDY","RYRPDY",2,NA,17030,NA,NA,NA,NA,17451
"RYRPGB","RYRPGB",1,NA,17030,17084,NA,17311,17377,NA
"RYRPGP","RYRPGP",1,NA,17030,NA,17245,NA,NA,NA
"RYRPGR","RYRPGR",1,NA,17029,NA,17254,NA,NA,NA
"RYRPGY","RYRPGY",1,NA,17030,NA,NA,17311,NA,NA
"RYRPPB","RYRPPB",2,NA,17030,NA,NA,17310,17375,NA
"RYRPPD","RYRPPD",2,NA,17030,NA,NA,NA,NA,NA
"RYRPPG","RYRPPG",1,NA,17030,NA,NA,NA,NA,NA
"RYRPPP","RYRPPP",1,NA,17030,17087,NA,NA,NA,NA
"RYRPPR","RYRPPR",1,NA,17030,NA,NA,NA,NA,NA
"RYRPPY","RYRPPY",1,NA,17030,NA,NA,17310,NA,17449
"RYRPRD","RYRPRD",1,NA,17029,17085,NA,NA,NA,NA
"RYRPRG","RYRPRG",2,NA,17029,17085,17254,17312,17378,NA
"RYRPRP","RYRPRP",1,NA,17029,17085,NA,17312,17378,17449
"RYRPRR","RYRPRR",1,NA,17029,17085,NA,17312,17378,NA
"RYRPYB","RYRPYB",1,NA,17030,NA,17245,NA,NA,NA
"RYRPYD","RYRPYD",1,NA,17030,NA,17245,17311,NA,NA
"RYRPYR","RYRPYR",2,NA,17030,NA,17245,17311,17377,NA
"RYRYBD","RYRYBD",3,NA,17029,17084,NA,NA,NA,NA
"RYRYBG","RYRYBG",2,NA,17029,NA,NA,17310,17375,17449
"RYRYBR","RYRYBR",3,NA,17029,NA,NA,NA,17375,NA
"RYRYBY","RYRYBY",1,NA,17029,NA,NA,NA,NA,NA
"RYRYDD","RYRYDD",2,NA,17029,17084,NA,17310,NA,17449
"RYRYDR","RYRYDR",2,NA,17028,NA,NA,NA,NA,NA
"RYRYDY","RYRYDY",2,NA,17028,NA,NA,NA,NA,NA
"RYRYGD","RYRYGD",1,16948,NA,NA,NA,17313,17376,NA
"RYRYGR","RYRYGR",2,16948,NA,NA,NA,17313,NA,17452
"RYRYPG","RYRYPG",2,NA,17029,NA,NA,17310,NA,NA
"RYRYPP","RYRYPP",2,NA,17029,17084,NA,17310,NA,17449
"RYRYPR","RYRYPR",2,NA,17029,17084,17244,17310,17375,17449
"RYRYYD","RYRYYD",2,NA,17028,NA,17244,17313,17376,17449
"RYRYYG","RYRYYG",1,NA,17028,NA,NA,17310,17375,NA
"RYRYYP","RYRYYP",2,NA,17028,NA,17244,17313,17376,NA
"RYRYYY","RYRYYY",2,NA,17028,NA,NA,NA,NA,17449
"RYYBBP","RYYBBP",1,NA,NA,NA,NA,17311,17374,17451
"RYYBBR","RYYBBR",1,NA,NA,NA,NA,17311,NA,NA
"RYYBDD","RYYBDD",2,NA,NA,NA,NA,17310,NA,17449
"RYYBDR","RYYBDR",1,NA,NA,NA,NA,17310,17375,NA
"RYYBGB","RYYBGB",1,NA,NA,NA,NA,17310,NA,NA
"RYYDBB","RYYDBB",2,NA,NA,17087,NA,NA,17375,NA
"RYYDBD","RYYDBD",2,NA,NA,17087,17243,NA,NA,NA
"RYYDBG","RYYDBG",2,NA,NA,17087,17243,NA,NA,NA
"RYYDBP","RYYDBP",1,NA,NA,17087,17243,17310,NA,NA
"RYYDBR","RYYDBR",2,NA,NA,17087,17243,17310,17375,NA
"RYYDBY","RYYDBY",1,NA,NA,17087,17243,NA,17375,17451
"RYYDDB","RYYDDB",1,NA,NA,17086,NA,NA,NA,NA
"RYYDDG","RYYDDG",3,NA,NA,17086,NA,17313,NA,17452
"RYYDDP","RYYDDP",3,NA,NA,17086,17253,NA,NA,17452
"RYYDGD","RYYDGD",1,NA,NA,17086,NA,NA,NA,NA
"RYYDGR","RYYDGR",2,NA,NA,17086,17245,17312,NA,17450
"RYYDPG","RYYDPG",3,NA,NA,17086,NA,NA,NA,17452
"RYYDPP","RYYDPP",2,NA,NA,17087,NA,NA,17375,NA
"RYYDPR","RYYDPR",2,NA,NA,17086,17253,17313,NA,NA
"RYYDRD","RYYDRD",2,NA,NA,17086,NA,NA,17377,NA
"RYYDRG","RYYDRG",2,NA,NA,17086,NA,NA,NA,NA
"RYYDRP","RYYDRP",1,NA,NA,17086,17245,17312,17377,17450
"RYYDRR","RYYDRR",1,NA,NA,17086,NA,NA,NA,NA
"RYYDRY","RYYDRY",2,NA,NA,17086,17245,17312,17377,NA
"RYYDYB","RYYDYB",3,NA,NA,17086,NA,17313,17376,17452
