"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"57","0GBY",821,2017,10,11,"control","C2",500,112,15.1,"0",2016,"nd","male","male",1000,"3rd"
"58","0GBY",496,2017,3,20,"control","C2",501,92,8.5,"nd",2016,"nd","nd","nd",1010,"3rd"
"59","0GDB",760,2017,7,31,"late","L3",476.5,126,21.2,"nd",2016,"nd","nd","nd",765,"2nd"
"60","0GDB",353,2016,10,11,"late","L3",475,83,7.6,"0",2016,"nd","nd","nd",750,"2nd"
"61","0GDB",160,2016,8,16,"late","L3",477,77,6.5,"nd",2016,"nd","nd","nd",770,"2nd"
"62","0GDB",619,2017,5,26,"late","L3",475,124,21.7,"nd",2016,"nd","nd","nd",750,"2nd"
"63","0GDB",73,2016,5,27,"late","L3",477,77,5.3,"nd",2016,"nd","nd","nd",770,"2nd"
"64","0GDB",528,2017,3,29,"late","L3",475,99,11.6,"nd",2016,"nd","nd","nd",750,"2nd"
"65","0GDD",622,2017,5,26,"late","L3",477,95,10.1,"nd",2016,"nd","nd","nd",770,"3rd"
"66","0GDD",761,2017,7,31,"late","L3",476.5,96,9.4,"nd",2016,"nd","nd","nd",765,"3rd"
"67","0GDD",360,2016,10,11,"late","L3",477,74,5,"0",2016,"nd","nd","nd",770,"3rd"
"68","0GDD",161,2016,8,16,"late","L3",477,69,3.7,"nd",2016,"nd","nd","nd",770,"3rd"
"69","0GDD",71,2016,5,27,"late","L3",477,62,3.5,"nd",2016,"nd","nd","nd",770,"3rd"
"70","0GDD",793,2017,10,11,"late","L3",477,105,14.4,"0",2016,"nd","female","female",770,"3rd"
"71","0GDG",758,2017,7,31,"late","L3",474,120,20.4,"nd",2016,"nd","nd","nd",740,"2nd"
"72","0GDG",157,2016,8,16,"late","L3",475,76,5.3,"nd",2016,"nd","nd","nd",750,"2nd"
"73","0GDG",352,2016,10,11,"late","L3",475,83,7.9,"0",2016,"nd","nd","nd",750,"2nd"
"74","0GDG",791,2017,10,11,"late","L3",474,132,31.4,"0",2016,"nd","female","female",740,"2nd"
"75","0GDG",524,2017,3,29,"late","L3",474,97,13.7,"nd",2016,"nd","nd","nd",740,"2nd"
"76","0GDG",69,2016,5,27,"late","L3",475,69,3.7,"nd",2016,"nd","nd","nd",750,"2nd"
"77","0GDP",72,2016,5,27,"late","L3",477,69,3.9,"nd",2016,"nd","nd","nd",770,"3rd"
"78","0GDP",162,2016,8,16,"late","L3",477,72,4.5,"nd",2016,"nd","nd","nd",770,"3rd"
"79","0GDR",621,2017,5,26,"late","L3",477,115,18.4,"nd",2016,"nd","nd","nd",770,"2nd"
"80","0GDR",529,2017,3,29,"late","L3",476.5,106,17.8,"nd",2016,"nd","nd","nd",765,"2nd"
"81","0GDR",68,2016,5,27,"late","L3",475,67,3.4,"nd",2016,"nd","nd","nd",750,"2nd"
"82","0GDR",155,2016,8,16,"late","L3",475,70,4.1,"nd",2016,"nd","nd","nd",750,"2nd"
"83","0GDR",796,2017,10,11,"late","L3",478,135,31.5,"0",2016,"nd","female","female",780,"2nd"
"84","0GDY",159,2016,8,16,"late","L3",476,70,3.4,"nd",2016,"nd","nd","nd",760,"3rd"
"85","0GDY",70,2016,5,27,"late","L3",476,70,3.6,"nd",2016,"nd","nd","nd",760,"3rd"
"86","0GGB",60,2016,5,27,"control","C1",461,72,4.4,"nd",2016,"nd","nd","nd",610,"2nd"
"87","0GGD",58,2016,5,27,"control","C1",459,57,2.4,"nd",2016,"nd","nd","nd",590,"3rd"
"88","0GGG",56,2016,5,27,"control","C1",459,74,4.3,"nd",2016,"nd","nd","nd",590,"2nd"
"89","0GGP",511,2017,3,28,"control","C1",458,77,5.2,"nd",2016,"nd","nd","nd",580,"3rd"
"90","0GGP",284,2016,8,18,"control","C1",460,70,4.2,"nd",2016,"nd","nd","nd",600,"3rd"
"91","0GGP",59,2016,5,27,"control","C1",460,61,2.6,"nd",2016,"nd","nd","nd",600,"3rd"
"92","0GGR",280,2016,8,18,"control","C1",458,80,6.1,"nd",2016,"nd","nd","nd",580,"2nd"
"93","0GGR",723,2017,7,29,"control","C1",468,119,21.1,"nd",2016,"nd","nd","nd",680,"2nd"
"94","0GGR",868,2017,10,13,"control","C1",466,123,19.1,"0",2016,"nd","female","female",660,"2nd"
"95","0GGR",55,2016,5,27,"control","C1",458,74,5,"nd",2016,"nd","nd","nd",580,"2nd"
"96","0GGR",510,2017,3,28,"control","C1",458,100,14.1,"nd",2016,"nd","nd","nd",580,"2nd"
"97","0GGR",640,2017,5,27,"control","C1",458,120,20.8,"nd",2016,"nd","nd","nd",580,"2nd"
"98","0GGY",415,2016,10,12,"control","C1",459,85,7.3,"0",2016,"nd","nd","nd",590,"3rd"
"99","0GGY",859,2017,10,13,"control","C1",459,102,11.4,"0",2016,"nd","female","female",590,"3rd"
"100","0GGY",513,2017,3,28,"control","C1",459,90,8.4,"nd",2016,"nd","nd","nd",590,"3rd"
"101","0GGY",57,2016,5,27,"control","C1",459,72,4.6,"nd",2016,"nd","nd","nd",590,"3rd"
