"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"0RYY","0RYY",1,2,16945,17030,NA,17243,17310,NA,NA
"0YBD","0YBD",3,3,NA,17029,NA,NA,NA,NA,NA
"0YBG","0YBG",3,3,NA,17029,NA,NA,NA,NA,NA
"0YBY","0YBY",3,3,NA,17029,NA,17255,17312,17378,17450
"0YDB","0YDB",1,2,16950,17030,NA,NA,17311,17377,17452
"0YDD","0YDD",1,1,16949,NA,NA,NA,NA,NA,NA
"0YDG","0YDG",1,1,16949,NA,17086,NA,NA,NA,NA
"0YDP","0YDP",2,2,16950,17030,NA,NA,NA,NA,NA
"0YDR","0YDR",1,1,16949,NA,17086,NA,NA,NA,17450
"0YDY","0YDY",2,1,16949,NA,17086,NA,NA,NA,NA
"0YGB","0YGB",1,1,16949,NA,NA,NA,NA,NA,NA
"0YGD","0YGD",2,1,16949,NA,NA,NA,NA,NA,NA
"0YGG","0YGG",2,1,16949,NA,17086,NA,NA,NA,17450
"0YGP","0YGP",2,1,16949,NA,17086,17245,NA,17377,17450
"0YGR","0YGR",1,1,16949,NA,NA,NA,NA,NA,NA
"0YGY","0YGY",2,1,16949,NA,NA,NA,NA,NA,NA
"0YPB","0YPB",3,1,NA,17031,NA,17245,17312,NA,NA
"0YPD","0YPD",3,2,NA,17030,17085,17243,NA,17374,17451
"0YPG","0YPG",3,2,NA,17030,NA,NA,NA,NA,NA
"0YPP","0YPP",3,2,NA,17030,17085,NA,NA,NA,NA
"0YPY","0YPY",2,2,NA,17030,NA,17243,17310,17375,NA
"0YRB","0YRB",1,1,16949,NA,17086,NA,17312,17377,17450
"0YRD","0YRD",2,1,16949,17031,17086,NA,NA,NA,NA
"0YRG","0YRG",2,1,16949,NA,17086,17245,17312,17377,17450
"0YRP","0YRP",1,1,16949,NA,NA,NA,NA,NA,NA
"0YRR","0YRR",1,1,16949,NA,17086,17245,17312,NA,17450
"0YRY","0YRY",1,1,16949,17031,17086,17245,17312,17377,NA
"0YYB","0YYB",2,1,16949,17031,17086,17245,NA,NA,NA
"0YYD","0YYD",1,1,16949,17031,NA,17245,17312,NA,17450
"0YYG","0YYG",2,1,16949,NA,NA,17245,NA,NA,NA
"0YYP","0YYP",2,1,16949,NA,NA,NA,NA,17377,NA
"0YYR","0YYR",3,1,16949,NA,NA,17245,NA,NA,NA
"0YYY","0YYY",2,1,16949,NA,NA,NA,NA,NA,NA
