"","indID","CL","TR","X1","X2","X3","X4","X5","X6","X7"
"RYYGRG","RYYGRG",3,1,NA,1,1,0,0,1,0
"RYYGRP","RYYGRP",1,1,NA,1,1,0,1,0,0
"RYYGRR","RYYGRR",2,1,NA,1,0,1,1,1,1
"RYYGRY","RYYGRY",3,1,NA,1,1,1,0,1,1
"RYYGYR","RYYGYR",3,1,NA,1,1,1,1,1,0
"RYYPRR","RYYPRR",3,2,NA,NA,1,1,0,1,0
"RYYPYB","RYYPYB",1,1,NA,NA,NA,1,0,1,1
"RYYPYY","RYYPYY",1,1,NA,NA,NA,1,0,0,0
"RYYRBB","RYYRBB",2,1,NA,1,0,1,1,1,1
"RYYRBG","RYYRBG",1,1,NA,1,0,0,0,0,0
"RYYRBR","RYYRBR",1,1,NA,1,0,1,0,1,0
"RYYRBY","RYYRBY",1,1,NA,1,0,0,0,1,0
"RYYRDB","RYYRDB",2,1,NA,1,1,1,1,1,0
"RYYRDG","RYYRDG",1,2,NA,1,0,1,0,1,1
"RYYRDP","RYYRDP",2,1,NA,1,1,0,0,0,0
"RYYRGG","RYYRGG",2,2,NA,1,0,0,0,0,0
"RYYRGP","RYYRGP",1,2,NA,1,1,0,1,0,0
"RYYRGY","RYYRGY",1,2,NA,1,1,0,0,0,0
"RYYRPB","RYYRPB",1,1,NA,1,0,0,0,0,0
"RYYRPD","RYYRPD",1,1,NA,1,1,1,0,1,0
"RYYRPR","RYYRPR",1,1,NA,1,0,0,0,0,0
"RYYRPY","RYYRPY",1,1,NA,1,1,0,0,1,1
"RYYRRD","RYYRRD",1,2,NA,1,0,0,0,0,0
"RYYRRG","RYYRRG",1,2,NA,1,1,0,0,0,0
"RYYRRR","RYYRRR",1,2,NA,1,0,1,0,1,1
"RYYRRY","RYYRRY",2,2,NA,1,0,1,0,1,0
"RYYRYD","RYYRYD",1,2,NA,1,1,0,0,0,0
"RYYRYR","RYYRYR",2,2,NA,1,1,1,0,1,0
"RYYRYY","RYYRYY",2,2,NA,1,1,0,0,0,0
"RYYYBG","RYYYBG",3,1,NA,NA,1,0,0,0,0
"RYYYBR","RYYYBR",3,3,NA,NA,1,0,1,0,0
"RYYYBY","RYYYBY",2,1,NA,NA,1,1,1,1,1
"RYYYDD","RYYYDD",1,3,NA,NA,1,0,0,0,0
"RYYYDG","RYYYDG",2,3,NA,NA,1,0,0,1,0
"RYYYDP","RYYYDP",3,3,NA,NA,1,1,0,0,1
"RYYYDR","RYYYDR",3,3,NA,NA,1,1,0,0,0
"RYYYDY","RYYYDY",2,3,NA,NA,1,1,0,0,0
"RYYYGB","RYYYGB",2,2,NA,NA,1,0,0,0,0
"RYYYGD","RYYYGD",1,2,NA,NA,1,0,0,0,0
"RYYYGP","RYYYGP",2,2,NA,NA,1,0,0,1,0
"RYYYGR","RYYYGR",3,2,NA,NA,1,0,0,1,0
"RYYYPR","RYYYPR",2,3,NA,NA,1,0,0,1,1
"RYYYRB","RYYYRB",1,2,NA,NA,1,0,1,1,1
"RYYYRD","RYYYRD",2,2,NA,NA,1,0,0,0,0
"RYYYRP","RYYYRP",1,2,NA,NA,1,0,0,0,0
"RYYYRY","RYYYRY",2,2,NA,NA,1,0,1,0,0
"RYYYYB","RYYYYB",1,3,NA,NA,1,1,0,1,1
"RYYYYP","RYYYYP",3,3,NA,NA,1,1,0,0,0
