"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"xi",0.520228354666667,0.0194365201500828,0.483591773772447,0.506589749995374,0.520257498984878,0.533640249852256,0.557321196281704,1.00261676716141,1500
"mu.p[1]",0.959748332666667,0.021251628003925,0.913399854577147,0.948816248304289,0.962455499759859,0.974921499830373,0.992089524999874,1.0038117834786,940
"mu.p[2]",0.975763249333333,0.0135377860818463,0.944629125400976,0.968443249821005,0.977743999834312,0.985201249983918,0.995885049999499,1.00529176074335,450
"mu.p[3]",0.985234561333333,0.0119837426031029,0.957249600352683,0.980266249908092,0.987765999999494,0.993594999782611,0.999279674993886,1.00310993825845,640
"mu.p[4]",0.965615711333333,0.0191995343327662,0.919576077116341,0.954310499952452,0.967676499989537,0.979733749999139,0.994539024944711,1.00123773314897,1500
"mu.p[5]",0.956644463333333,0.0224419674525523,0.904956044561584,0.944663249999107,0.960002999647918,0.972133249983702,0.990414298934427,1.0006256211947,1500
"mu.p[6]",0.941383199333333,0.0353931522688116,0.84892889999765,0.924535749045873,0.948462999896675,0.967185499968595,0.988814149733176,1.00003808046942,1500
"mu.p[7]",0.978625781333333,0.0151409885368195,0.940850654531723,0.971313499829738,0.981453999958735,0.989642749790742,0.997991524999875,1.00523493457659,630
"mu.p[8]",0.969009622,0.0168452215203153,0.932635924929276,0.960778999311476,0.971550999913026,0.980228499990436,0.993262199991966,1.00182580393985,1500
"mu.p[9]",0.907477304666667,0.0445963399004618,0.807086874903443,0.884895249976162,0.914323499747217,0.938450249983117,0.971483024522418,1.00128952962257,1500
"sigma.p",0.890971499333333,0.420890936173241,0.188125028183491,0.589989700685582,0.867509831932757,1.16251497287583,1.77815994233524,1.00833219785844,240
"p[1,1]",0.949632700666667,0.0313700365814017,0.876156232567019,0.932140995131791,0.955207998473631,0.972488249999904,0.99472029998195,1.00358693506694,560
