"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"xi",0.518652248,0.0212589399481954,0.477047125,0.5186705,0.561555725,1,468
"mu.p[1]",0.957675101333333,0.0225196252859829,0.90865675,0.9603565,0.992445325,1,1252
"mu.p[2]",0.970460919333333,0.0169286680409472,0.933325825,0.972186,0.994477175,1.01,1184
"mu.p[3]",0.990807993333333,0.011063877055277,0.964236525,0.9941175,1,1.01,59
"mu.p[4]",0.961313952666667,0.022292227453539,0.910916775,0.9635695,0.996607925,1,707
"mu.p[5]",0.952881848,0.0261902769727145,0.894334925,0.955782,0.99121225,1.01,1040
"mu.p[6]",0.944035776666667,0.0334163452437639,0.868230825,0.949237,0.99148285,1,1278
"mu.p[7]",0.975643389333333,0.0164637298419878,0.93370385,0.9787325,0.998312375,1,917
"mu.p[8]",0.970865711333333,0.016028153855805,0.930578075,0.9730025,0.995050475,1,972
"mu.p[9]",0.919416380666667,0.0418595910822774,0.827721375,0.9235205,0.984043375,1.01,1500
"sigma.p",0.896856421486667,0.602985343134969,0.0908062825,0.8219065,2.2025055,1.09,359
"p[1,1]",0.951377407333333,0.0309562306874345,0.87354175,0.9549805,0.996983575,1.01,1515
"p[2,1]",0.94402661,0.0347530034428023,0.857401325,0.9526335,0.9900023,1.01,1106
"p[3,1]",0.987165525333333,0.0181564756947981,0.94023625,0.993707,1,1.01,98
"p[4,1]",0.968866740666667,0.0236858214023724,0.91240975,0.973487,0.99890705,1,737
"p[5,1]",0.961303422,0.0275547430050551,0.897372875,0.966126,0.998134175,1,1213
"p[6,1]",0.850563908666667,0.103937651398861,0.6010162,0.879467,0.979225975,1,1111
"p[7,1]",0.971139234,0.0280872934272532,0.904518875,0.978363,0.999220075,1.01,1427
"p[8,1]",0.946068132666667,0.0384553470007622,0.8471964,0.9554865,0.995403625,1,1166
"p[9,1]",0.868547704,0.0715103014956054,0.69872825,0.883082,0.972831675,1.01,1500
"p[1,2]",0.913231791333333,0.0566507287150756,0.769149475,0.9266515,0.991185875,1.01,1017
"p[2,2]",0.974243704666667,0.0188007239059485,0.930602675,0.977459,0.998829225,1.01,1256
"p[3,2]",0.989079889333333,0.0156448692284895,0.948959575,0.9949155,1,1.01,83
"p[4,2]",0.959840294666667,0.0290835199128335,0.8903991,0.9639775,0.999257175,1,1015
"p[5,2]",0.897651784,0.0635848238349694,0.742874825,0.9106275,0.9863844,1,835
"p[6,2]",0.899411316,0.08381168382315,0.66290815,0.923724,0.9906633,1.01,1353
"p[7,2]",0.961615839333333,0.034711819175633,0.863627025,0.9717985,0.998984825,1,1417
"p[8,2]",0.952048819333333,0.0364606481292186,0.859162,0.9618755,0.996220475,1,996
"p[9,2]",0.897680788666667,0.061707841645994,0.747488525,0.907541,0.989056075,1,1500
"p[1,3]",0.943748888666667,0.0242323603912694,0.8876418,0.9458235,0.98330705,1,1345
"p[2,3]",0.967202632666667,0.0146556985729388,0.935254925,0.9681595,0.9930149,1.01,1107
"p[3,3]",0.991504418,0.0103650644356791,0.96448295,0.9950625,1,1.01,98
"p[4,3]",0.918769178666667,0.0244820195000728,0.868238925,0.9208925,0.9613921,1,1004
"p[5,3]",0.955811929333333,0.021726117635817,0.9063389,0.9576245,0.9930005,1,1002
"p[6,3]",0.957626844,0.0309836298774679,0.882845875,0.9636015,0.99853525,1.01,818
"p[7,3]",0.973366762666667,0.0172232403258084,0.928425625,0.976488,0.9975551,1,1175
"p[8,3]",0.975721532666667,0.0136344787100716,0.94480405,0.9770865,0.997424275,1,1418
"p[9,3]",0.925977858666667,0.0333073786324833,0.857518825,0.9284845,0.985105875,1,1345
"p[1,4]",0.96483843,0.0253839289381554,0.9018563,0.9689785,0.998169775,1,1298
"p[2,4]",0.970863947333333,0.0206765246963855,0.9180838,0.9744655,0.998224,1,1363
"p[3,4]",0.986904866,0.0199900833660267,0.923958575,0.9942385,1,1.01,103
"p[4,4]",0.963418036666667,0.0281077910861114,0.895588025,0.968236,0.99846765,1,861
"p[5,4]",0.950335842666667,0.0345535272790521,0.863773625,0.9565475,0.9966139,1,1302
"p[6,4]",0.953887096666667,0.0364414556371352,0.859995725,0.9621565,0.99796125,1.01,1082
"p[7,4]",0.970377194666667,0.0270046278980112,0.9015089,0.977383,0.999220775,1,1327
"p[8,4]",0.964579277333333,0.027019885133771,0.89188495,0.970916,0.997643275,1.01,1417
"p[9,4]",0.932130416666667,0.0452143153364649,0.82752645,0.939691,0.9966288,1,1292
"p[1,5]",0.960814549333333,0.0290405045904534,0.8942487,0.9653405,0.998025625,1,1225
"p[2,5]",0.969728605333333,0.0218738700482752,0.91558305,0.973575,0.99795905,1.01,1311
"p[3,5]",0.987994009333333,0.0192927484362406,0.935964475,0.995122,1,1.01,191
"p[4,5]",0.948868534666667,0.0372587524706063,0.86427525,0.954823,0.998817825,1.01,1338
"p[5,5]",0.962570696666667,0.0262508780713141,0.897126875,0.9662585,0.998044375,1,932
"p[6,5]",0.953154251333333,0.037867566988668,0.860973925,0.9613815,0.99774925,1,1023
"p[7,5]",0.975721590666667,0.0215590110013118,0.9180705,0.981036,0.99919315,1,1267
"p[8,5]",0.975529788666667,0.0193314881737028,0.92616705,0.978826,0.998811625,1.01,1500
"p[9,5]",0.919614447333333,0.0561041476302073,0.788846075,0.926848,0.99506195,1,1500
"p[1,6]",0.964561912666667,0.0262703655203873,0.907595125,0.9697875,0.9983371,1,1054
"p[2,6]",0.971805647333333,0.0229845826407705,0.91650755,0.9759595,0.998841425,1.01,1315
"p[3,6]",0.99034357,0.0144517055070953,0.954576475,0.9955555,1,1.01,156
"p[4,6]",0.96269581,0.0272735337463735,0.8977132,0.9668305,0.99909985,1,951
"p[5,6]",0.934388020666667,0.0540464889313522,0.782890025,0.948061,0.99702605,1,1426
"p[6,6]",0.946394760666667,0.0431305534031421,0.839798775,0.9555975,0.9979543,1,1421
"p[7,6]",0.973439753333333,0.0255838067761868,0.90559035,0.98051,0.99926365,1.01,1236
"p[8,6]",0.974655875333333,0.0196528509321413,0.92378675,0.9784195,0.998858775,1.01,1272
"p[9,6]",0.911788094,0.0672942947037534,0.736424025,0.924828,0.994971775,1,1408
"pi[1,1]",0.874802333333333,0.0756778731214063,0.6910482,0.8816955,0.991776775,1.01,1360
"pi[2,1]",0.85703308,0.0825019700513742,0.6567045,0.8757845,0.9729093,1.01,1102
"pi[3,1]",0.966072128,0.0466124252801469,0.84498195,0.982894,1,1.01,90
"pi[4,1]",0.918471099333333,0.0600822196294811,0.7783701,0.929186,0.997014625,1,732
"pi[5,1]",0.899473284666667,0.0682440825627652,0.74380615,0.910106,0.994908025,1,1198
"pi[6,1]",0.6644114592,0.193881120196755,0.24866975,0.703936,0.9442356,1,966
"pi[7,1]",0.924861748666667,0.0680413371499385,0.76010855,0.9419615,0.997869125,1,1422
"pi[8,1]",0.862698118666667,0.0910231022573773,0.635560125,0.882972,0.987486825,1,1162
"pi[9,1]",0.690996247333333,0.144058849758602,0.375358875,0.711873,0.9274764,1.01,1387
"pi[1,2]",0.846780548,0.0950599429685106,0.612662525,0.867449,0.983609475,1.01,1025
"pi[2,2]",0.952745841333333,0.0339522761969915,0.874366575,0.958335,0.997815725,1.01,1251
"pi[3,2]",0.97991083,0.0283917819196826,0.906836875,0.990529,1,1.01,67
"pi[4,2]",0.927030562,0.051741515671881,0.805177375,0.9338095,0.99861325,1,1021
"pi[5,2]",0.820789945333333,0.104805201796136,0.5741727,0.839659,0.974734875,1,834
"pi[6,2]",0.826263290666667,0.132579581241506,0.46420825,0.862341,0.982642025,1.01,1352
"pi[7,2]",0.930525528,0.0608122098280929,0.76057555,0.9480015,0.9981056,1,1412
"pi[8,2]",0.913440132666667,0.063350667562477,0.75325225,0.930012,0.9929558,1,973
"pi[9,2]",0.820644857333333,0.102002595429685,0.58084695,0.834355,0.979668275,1,1500
"pi[1,3]",0.741198356666667,0.0975010132791129,0.5316932,0.744378,0.9146439,1,1354
"pi[2,3]",0.840166299333333,0.0661379689480063,0.7013407,0.8424,0.963533275,1.01,982
"pi[3,3]",0.956955527333333,0.0511043437529942,0.825584875,0.974106,1,1.01,90
