"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"xi",0.528301622666667,0.0191880822208603,0.48952345,0.5291565,0.565547325,1,1103
"mu.p",0.959848620666667,0.0219015434104375,0.91715195,0.9605985,0.990961875,1.01,1361
"sigma.p",0.945705737753333,0.749315736493819,0.0972213375,0.765023,2.895298,1.02,696
"p[1]",0.93916975,0.0186345038257544,0.9003657,0.940385,0.971820725,1,1119
"p[2]",0.929019654666667,0.0231538251752544,0.881188175,0.930502,0.968096625,1,1045
"p[3]",0.956062006666667,0.00872791333630742,0.938289175,0.95635,0.972592775,1,1159
"p[4]",0.967878266666667,0.0150690966870236,0.936576125,0.9679965,0.995914675,1,794
"p[5]",0.972021133333333,0.0160163314849056,0.939134675,0.9723995,0.998711275,1,741
"p[6]",0.974476619333333,0.0161727153393421,0.94092425,0.975935,0.999184925,1,683
"pi[1]",0.843148779333333,0.0453612333005214,0.75060575,0.8453485,0.924845075,1,1120
"pi[2]",0.87202964,0.0404014284179806,0.7896988,0.8741895,0.94127165,1,1045
"pi[3]",0.788837108,0.0380266760147069,0.713483925,0.789349,0.863048475,1,1159
"pi[4]",0.929988969333333,0.0322675817780673,0.863866375,0.9299325,0.99089965,1,789
"pi[5]",0.941565520666667,0.0329434937804399,0.874619875,0.9420385,0.9972526,1,737
"pi[6]",0.938682686666667,0.0382324025163203,0.860534525,0.9416825,0.997990575,1,678
"phi[1]",1,0,1,1,1,NA,0
"phi[2]",0.843148779333333,0.0453612333005214,0.75060575,0.8453485,0.924845075,1,1120
"phi[3]",0.73502048,0.0490337843508614,0.63761145,0.734034,0.825908925,1,1023
"phi[4]",0.579291538666667,0.041026413804283,0.498974325,0.578413,0.659898125,1,1178
"phi[5]",0.538484352,0.0391530823264768,0.4618417,0.538114,0.6173305,1,1222
"phi[6]",0.506921607333333,0.0396813001757197,0.428572725,0.506023,0.58533455,1,1132
"phi[7]",0.476116438,0.0451156526033634,0.389182925,0.4743685,0.56617915,1,841
"alpha",-2.19295737333333,0.0414342974555828,-2.2697295,-2.19303,-2.106815,1,668
"loglik[12,2]",-0.309095450666667,0.370300352598876,-0.808726275,0,0,1,1295
"loglik[13,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[14,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[15,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[16,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[17,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[18,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[19,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[20,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[21,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[22,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[23,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[24,2]",-0.300839405333333,0.367934642804531,-0.808726275,0,0,1,1500
"loglik[25,2]",-0.299573538666667,0.367418333957741,-0.81346305,0,0,1,1582
"loglik[26,2]",-0.297044092,0.366295914439748,-0.80549755,0,0,1,1500
"loglik[27,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[28,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[29,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[30,2]",-0.302304607333333,0.368776138463391,-0.81588045,0,0,1,1500
"loglik[31,2]",-0.286742237333333,0.364687669108827,-0.80566765,0,0,1,1297
"loglik[32,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[33,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[34,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[35,2]",-0.301419444,0.369661556662943,-0.816483625,0,0,1,1500
"loglik[36,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[37,2]",-0.29636273,0.367006833637252,-0.80830565,0,0,1,1791
"loglik[38,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[39,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[40,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[41,2]",-0.30143062,0.369126078143958,-0.8092466,0,0,1,1374
"loglik[42,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[43,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[44,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[45,2]",-0.296930509333333,0.366723199418343,-0.808431275,0,0,1,1526
"loglik[46,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[47,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[48,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[49,2]",-0.301987718,0.368802993916146,-0.8126796,0,0,1,1434
"loglik[50,2]",-0.302321251333333,0.369286339096475,-0.8140212,0,0,1,1500
"loglik[51,2]",-0.300406354,0.368440112519232,-0.8145811,0,0,1,1500
"loglik[52,2]",-0.290744495333333,0.365656419787996,-0.811357325,0,0,1,1561
"loglik[53,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[54,2]",-0.297591785333333,0.366988428137835,-0.809367725,0,0,1,1431
"loglik[55,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[56,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[57,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[58,2]",-0.292296151333333,0.366578393743587,-0.816088975,0,0,1,1500
"loglik[59,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[60,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[61,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[62,2]",-0.293865828,0.367514962778985,-0.814467575,0,0,1,1328
"loglik[63,2]",-0.30262908,0.369117293386628,-0.811574075,0,0,1,1500
"loglik[64,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[65,2]",-0.290079994666667,0.366821712423882,-0.813688125,0,0,1,1422
"loglik[66,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[67,2]",-0.27695227,0.362351688454858,-0.811062425,0,0,1,1388
"loglik[68,2]",-0.287425902,0.365084311209721,-0.81087545,0,0,1,1392
"loglik[69,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[70,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[71,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[72,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[73,2]",-0.303294938666667,0.36937385217866,-0.80946035,0,0,1,1404
"loglik[74,2]",-0.292595421333333,0.367417565835433,-0.810283525,0,0,1,1583
"loglik[75,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[76,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[77,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[78,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[79,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[80,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[81,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[86,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[87,2]",-0.296863054666667,0.36771755114336,-0.814430675,0,0,1,1403
"loglik[88,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[89,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[90,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[91,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[92,2]",-0.310521258,0.369957545558055,-0.814016975,0,0,1,1242
"loglik[93,2]",-0.287778490666667,0.364932982278256,-0.8070409,0,0,1,1356
"loglik[94,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[95,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[96,2]",-0.286102127333333,0.36492781049216,-0.811229325,0,0,1,1594
"loglik[97,2]",-0.300902194,0.369006518830402,-0.81262925,0,0,1,1618
"loglik[104,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[105,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[106,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[107,2]",-0.294269634,0.366522594348294,-0.81363825,0,0,1,1899
"loglik[108,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[109,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[110,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[111,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[112,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[113,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[114,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[115,2]",-0.290760944,0.366183085056166,-0.814074725,0,0,1,1412
"loglik[116,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[117,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[118,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[122,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[123,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[124,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[125,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[126,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[127,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[128,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[129,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[130,2]",-0.2736107,0.361561005294633,-0.806335475,0,0,1,1332
"loglik[131,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[132,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[133,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[134,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[135,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[136,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[137,2]",-0.303263344666667,0.369398639508285,-0.81509485,0,0,1.01,1370
"loglik[138,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[139,2]",-0.300843354666667,0.368941087507961,-0.810410825,0,0,1,1500
"loglik[140,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[141,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[142,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[143,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[144,2]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
"loglik[145,2]",-0.304853924666667,0.368744352976826,-0.8083282,0,0,1,1047
"loglik[229,2]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[1,3]",-0.75224263,0.0406967804451101,-0.833667375,-0.753229,-0.672410375,1,1081
"loglik[2,3]",-0.638749618,0.0364328953741117,-0.71432315,-0.6364715,-0.569962025,1,1093
