"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"loglik[148,6]",-0.545067322,0.334120739857008,-0.8304717,-0.725302,0,1,1500
"loglik[149,6]",-0.571631946,0.318716822447888,-0.8293547,-0.7294015,0,1,1407
"loglik[150,6]",-0.611551566,0.291006820531625,-0.8295059,-0.7352815,0,1,1493
"loglik[151,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[152,6]",-0.616617727333333,0.287618965291518,-0.831182575,-0.736301,0,1,1419
"loglik[153,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[154,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[159,6]",-0.603859532666667,0.296864845453374,-0.8296712,-0.7333105,0,1,1500
"loglik[160,6]",-0.0660971566666667,0.212322490744713,-0.764810625,0,0,1,1026
"loglik[161,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[162,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[163,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[164,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[165,6]",-0.619173945333333,0.285488905311969,-0.83030875,-0.7366705,0,1,1500
"loglik[166,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[167,6]",-0.0461595766666667,0.178800973360025,-0.7431526,0,0,1.01,707
"loglik[168,6]",-0.0679219866666667,0.214634635454359,-0.764393425,0,0,1.01,915
"loglik[169,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[170,6]",-0.0418857493333333,0.172342985058297,-0.75577425,0,0,1.01,1042
"loglik[171,6]",-0.049387688,0.186200312623352,-0.7639486,0,0,1,1094
"loglik[172,6]",-0.0348062513333333,0.157625848086205,-0.740744825,0,0,1.03,1160
"loglik[173,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[174,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[175,6]",-0.569141247333333,0.32075731249231,-0.828872275,-0.729771,0,1,1500
"loglik[176,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[177,6]",-0.0409801,0.170669622171987,-0.753691375,0,0,1.03,881
"loglik[178,6]",-0.049911726,0.186046737702658,-0.753327125,0,0,1,957
"loglik[179,6]",-0.0607522693333333,0.203687849362822,-0.76497955,0,0,1,1015
"loglik[180,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[181,6]",-0.0484146833333333,0.183460189949294,-0.749386625,0,0,1.01,868
"loglik[182,6]",-0.133255830666667,0.285038704095419,-0.778594475,0,0,1.01,1235
"loglik[183,6]",-0.377009039333333,0.374304717620568,-0.817782625,-0.660701,0,1,1327
"loglik[184,6]",-0.0527676353333333,0.189781473511316,-0.746342725,0,0,1.01,1167
"loglik[185,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[186,6]",-0.0690437133333333,0.215574235971827,-0.765025575,0,0,1,876
"loglik[187,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[188,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[189,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[190,6]",-0.369172335333333,0.373887869457274,-0.817202425,0,0,1,1095
"loglik[191,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[192,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[193,6]",-0.0390670593333333,0.166013753987467,-0.745313175,0,0,1,1186
"loglik[194,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[195,6]",-0.365949713333333,0.37410129582986,-0.818585525,0,0,1,1430
"loglik[196,6]",-0.0672096506666667,0.215025322443094,-0.77790425,0,0,1,777
"loglik[197,6]",-0.391543907333333,0.373961260642719,-0.81483065,-0.680749,0,1.01,1269
"loglik[198,6]",-0.570718025333333,0.319880388651324,-0.824753975,-0.730174,0,1,1500
"loglik[199,6]",-0.0727197446666667,0.221116725991325,-0.77173025,0,0,1,1008
"loglik[200,6]",-0.0566922053333333,0.198078340790023,-0.76531405,0,0,1,1199
"loglik[201,6]",-0.037346648,0.161947351820901,-0.733315125,0,0,1,976
"loglik[202,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[203,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[204,6]",-0.0680958786666667,0.21524014915717,-0.77403165,0,0,1,889
"loglik[205,6]",-0.067807978,0.215161574546323,-0.7723817,0,0,1,853
"loglik[206,6]",-0.0646718633333333,0.208640944800616,-0.75473765,0,0,1,988
"loglik[207,6]",-0.749035468,0.0419516305195775,-0.8357817,-0.748694,-0.673950375,1,1002
"loglik[208,6]",-0.64170688,0.0374910504239282,-0.7127193,-0.6405235,-0.568340875,1,1007
"loglik[209,6]",-0.391451382,0.373414385403062,-0.8203501,-0.6808735,0,1,1322
"loglik[210,6]",-0.385237214666667,0.373467256195468,-0.8150341,-0.6739545,0,1,1135
"loglik[211,6]",-0.562308937333333,0.323879366171254,-0.825046075,-0.72779,0,1,1770
