"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"xi",0.531763158666667,0.019387381763265,0.494358583470746,0.51883924960084,0.531259999984941,0.545119749937916,0.570181143973982,1.00644950888173,310
"p[1]",0.927787446666667,0.0193865172025642,0.88634089972765,0.915104,0.928822499961107,0.940067249863476,0.963558768417384,1.00102174938684,1500
"p[2]",0.909393454666667,0.0224371238859498,0.865356389957743,0.894716999993294,0.909897499831712,0.924224749977177,0.95200572282046,1.00860370749208,230
"p[3]",0.965917031333333,0.00832569921976628,0.948274649974228,0.96055949999024,0.966041499999871,0.971726749965172,0.981256674993774,1.00904866239916,220
"p[4]",0.969653986,0.017439536312825,0.930320670007686,0.959215749997557,0.971439999967059,0.982765249983878,0.997037074503644,1.00488402603512,440
"p[5]",0.973405882666667,0.0188282371720838,0.928323219020218,0.962502249392095,0.976549999991808,0.988503499969272,0.99861929998202,1.00991585607881,350
"p[6]",0.972077956,0.0208494030415307,0.921927271137246,0.960931249660381,0.976062999991804,0.988435499999621,0.998596849855659,1.00427381588118,470
"phi[1]",1,0,1,1,1,1,1,1,1
"phi[2]",0.815593950666667,0.0463624593038739,0.719076548334679,0.784667,0.817239999755274,0.844567749080813,0.903511279016327,1.00102175064186,1500
"phi[3]",0.682994229333333,0.0436275795406505,0.594173599946278,0.65427824968347,0.684263998711024,0.710636499492899,0.767278034802037,1.00861700378345,230
"phi[4]",0.56842058,0.0394096976817362,0.489380429002432,0.542720999104473,0.56877349999978,0.595817996737522,0.644867005078149,1.00336439418572,1300
"phi[5]",0.530464036,0.0373589105824743,0.45674745213036,0.506605249902104,0.531086499523383,0.554937499642537,0.605507999670524,1.00535108370518,500
"phi[6]",0.500835408,0.0381735387403567,0.42613073032081,0.474928249699749,0.500404999711234,0.526776248460834,0.576877098946639,1.00428977058223,1000
"phi[7]",0.467386144,0.0426351754916689,0.380630346319327,0.439600499930902,0.468512999995731,0.496494999489439,0.549773638415912,1.00333180656331,770
"alpha",-2.07004018,0.0416732877125557,-2.152936,-2.098705,-2.070525,-2.0421375,-1.98877475,1.03095678327265,68
"loglik[11,2]",-0.251824477333333,0.357633311008958,-0.820210325,-0.7277485,0,0,0,1.00202895060986,990
